baseline,baseline_value,metric,paired_difference,seed,treatment,treatment_value
gamma_current_ppo,7.262811481878197,n_competitor_won_std,-0.018609648197650763,0,unit_current_ppo,7.244201833680546
gamma_current_ppo,0.36706228880249003,market_share_std,-0.004852197118462742,0,unit_current_ppo,0.3622100916840273
gamma_current_ppo,0.3822805502146142,mean_epsilon_bid,0.014429444134595848,1,unit_current_ppo,0.39670999434921006
gamma_current_ppo,0.02180782118282178,mean_epsilon_ask,0.10471270979147589,1,unit_current_ppo,0.12652053097429766
gamma_current_ppo,0.5600672961005014,epsilon_bid_std,-0.00575413017361992,1,unit_current_ppo,0.5543131659268815
gamma_current_ppo,0.6255269838794763,epsilon_ask_std,-0.004625695902002236,1,unit_current_ppo,0.620901287977474
gamma_current_ppo,0.9963412880897522,latent_std_bid,-0.003178238868713379,1,unit_current_ppo,0.9931630492210388
gamma_current_ppo,0.993374764919281,latent_std_ask,0.006430447101593018,1,unit_current_ppo,0.999805212020874
gamma_current_ppo,0.3822805502146142,analytical_error_bid,0.014429444134595848,1,unit_current_ppo,0.39670999434921006
gamma_current_ppo,0.02180782118282178,analytical_error_ask,0.10471270979147589,1,unit_current_ppo,0.12652053097429766
gamma_current_ppo,0.5993919739127159,deterministic_mean_epsilon_bid,0.015606233030557637,1,unit_current_ppo,0.6149982069432736
gamma_current_ppo,0.02900705774156869,deterministic_mean_epsilon_ask,0.17116775623967093,1,unit_current_ppo,0.20017481398123962
gamma_current_ppo,0.39927852238302647,mean_market_share,-0.02855736853687263,1,unit_current_ppo,0.37072115384615384
gamma_current_ppo,0.26371037110349926,mean_spread_pnl,-0.13993222625532048,1,unit_current_ppo,0.12377814484817878
gamma_current_ppo,0.33565091184977136,spread_pnl_std,-0.18036901475036854,1,unit_current_ppo,0.15528189709940282
gamma_current_ppo,18.310576114046246,inventory_std,-9.61488049570067,1,unit_current_ppo,8.695695618345576
gamma_current_ppo,60.55083406309302,mean_total_pnl,-34.85601684813359,1,unit_current_ppo,25.694817214959432
gamma_current_ppo,0.11644391165979427,mean_total_pnl_per_step,-0.06703080163102614,1,unit_current_ppo,0.04941311002876814
gamma_current_ppo,40.05264874856351,gross_investor_volume_mean,-20.052648748563513,1,unit_current_ppo,20.0
gamma_current_ppo,6.4342547792188105,gross_investor_volume_std,-6.4342547792188105,1,unit_current_ppo,0.0
gamma_current_ppo,0.19103209227820397,net_investor_flow_mean,-0.21026286150897322,1,unit_current_ppo,-0.019230769230769232
gamma_current_ppo,10.791246503291688,net_investor_flow_std,-6.385697621853013,1,unit_current_ppo,4.405548881438675
